CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME
Land of Toys Inc.,2125557818,897 Long Airport Avenue,None,NYC,NY,10022,USA,None,Yu,Kwai
Reims Collectables,26.47.1555,59 rue de l'Abbaye,None,Reims,None,51100,France,EMEA,Henriot,Paul
Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,None,Paris,None,75508,France,EMEA,Da Cunha,Daniel
Toys4GrownUps.com,6265557265,78934 Hillside Dr.,None,Pasadena,CA,90003,USA,None,Young,Julie
Corporate Gift Ideas Co.,6505551386,7734 Strong St.,None,San Francisco,CA,None,USA,None,Brown,Julie
Technics Stores Inc.,6505556809,9408 Furth Circle,None,Burlingame,CA,94217,USA,None,Hirano,Juri
Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",None,Lille,None,59000,France,EMEA,Rance,Martine
Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",None,Bergen,None,N 5804,Norway,EMEA,Oeztan,Veysel
Mini Wheels Co.,6505555787,5557 North Pendale Street,None,San Francisco,CA,None,USA,None,Murphy,Julie
Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",None,Paris,None,75016,France,EMEA,Perrier,Dominique
"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter
Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,None,Frick,Michael
Tekni Collectables Inc.,2015559350,7476 Moss Rd.,None,Newark,NJ,94019,USA,None,Brown,William
Gift Depot Inc.,2035552570,25593 South Bay Ln.,None,Bridgewater,CT,97562,USA,None,King,Julie
La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",None,Nantes,None,44000,France,EMEA,Labrune,Janine
Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,None,Cambridge,MA,51247,USA,None,Hernandez,Marta
"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,None,Helsinki,None,21240,Finland,EMEA,Karttunen,Matti
Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,None,Stavern,None,4110,Norway,EMEA,Bergulfsen,Jonas
Diecast Classics Inc.,2155551555,7586 Pompton St.,None,Allentown,PA,70267,USA,None,Yu,Kyung
Salzburg Collectables,6562-9555,Geislweg 14,None,Salzburg,None,5020,Austria,EMEA,Pipps,Georg
Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian
FunGiftIdeas.com,5085552555,1785 First Street,None,New Bedford,MA,50553,USA,None,Benitez,Violeta
"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,None,Liverpool,None,WX1 6LT,UK,EMEA,Devon,Elizabeth
Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",None,Madrid,None,28034,Spain,EMEA,Freyre,Diego
"Volvo Model Replicas, Co",0921-12 3555,Berguvsvgen  8,None,Lule,None,S-958 22,Sweden,EMEA,Berglund,Christina
"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",None,Madrid,None,28023,Spain,EMEA,Sommer,Mart¡n
"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",None,Singapore,None,79903,Singapore,Japan,Natividad,Eric
Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,None,Hernandez,Maria
"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,None,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony
"Classic Gift Ideas, Inc",2155554695,782 First Street,None,Philadelphia,PA,71270,USA,None,Cervantes,Francisca
"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",None,Lyon,None,69004,France,EMEA,Saveley,Mary
Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,None,Vancouver,BC,V3F 2K1,Canada,None,Tannamuri,Yoshi
West Coast Collectables Co.,3105553722,3675 Furth Circle,None,Burbank,CA,94019,USA,None,Thompson,Steve
Cambridge Collectables Co.,6175555555,4658 Baden Av.,None,Cambridge,MA,51247,USA,None,Tseng,Kyung
Super Scale Inc.,2035559545,567 North Pendale Street,None,New Haven,CT,97823,USA,None,Murphy,Leslie
"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,None,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko
Amica Models & Co.,011-4988555,Via Monte Bianco 34,None,Torino,None,10100,Italy,EMEA,Accorti,Paolo
Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,None,Boras,None,S-844 67,Sweden,EMEA,Larsson,Maria
