ORDERNUMBER,PRODUCTCODE,QUANTITYORDERED,PRICEEACH,SALES,ORDERLINENUMBER,DEALSIZE
10107,S10_1678,30,95.7,2871.0,2,Small
10121,S10_1678,34,81.35,2765.9,5,Small
10134,S10_1678,41,94.74,3884.34,2,Medium
10145,S10_1678,45,83.26,3746.7,6,Medium
10159,S10_1678,49,100.0,5205.27,14,Medium
10168,S10_1678,36,96.66,3479.76,1,Medium
10180,S10_1678,29,86.13,2497.77,9,Small
10188,S10_1678,48,100.0,5512.32,1,Medium
10201,S10_1678,22,98.57,2168.54,2,Small
10211,S10_1678,41,100.0,4708.44,14,Medium
10223,S10_1678,37,100.0,3965.66,1,Medium
10237,S10_1678,23,100.0,2333.12,7,Small
10251,S10_1678,28,100.0,3188.64,2,Medium
10263,S10_1678,34,100.0,3676.76,2,Medium
10275,S10_1678,45,92.83,4177.35,1,Medium
10285,S10_1678,36,100.0,4099.68,6,Medium
10299,S10_1678,23,100.0,2597.39,9,Small
10309,S10_1678,41,100.0,4394.38,5,Medium
10318,S10_1678,46,94.74,4358.04,1,Medium
10329,S10_1678,42,100.0,4396.14,1,Medium
10341,S10_1678,41,100.0,7737.93,9,Large
10361,S10_1678,20,72.55,1451.0,13,Small
10375,S10_1678,21,34.91,733.11,12,Small
10388,S10_1678,42,76.36,3207.12,4,Medium
10403,S10_1678,24,100.0,2434.56,7,Small
10417,S10_1678,66,100.0,7516.08,2,Large
10103,S10_1949,26,100.0,5404.62,11,Medium
10112,S10_1949,29,100.0,7209.11,1,Large
10126,S10_1949,38,100.0,7329.06,11,Large
10140,S10_1949,37,100.0,7374.1,11,Large
10150,S10_1949,45,100.0,10993.5,8,Large
10163,S10_1949,21,100.0,4860.24,1,Medium
10174,S10_1949,34,100.0,8014.82,4,Large
10183,S10_1949,23,100.0,5372.57,8,Medium
10194,S10_1949,42,100.0,7290.36,11,Large
10206,S10_1949,47,100.0,9064.89,6,Large
10215,S10_1949,35,100.0,6075.3,3,Medium
10228,S10_1949,29,100.0,6463.23,2,Medium
10245,S10_1949,34,100.0,6120.34,9,Medium
10258,S10_1949,32,100.0,7680.64,6,Large
10270,S10_1949,21,100.0,4905.39,9,Medium
10280,S10_1949,34,100.0,8014.82,2,Large
10291,S10_1949,37,100.0,7136.19,11,Large
10304,S10_1949,47,100.0,10172.7,6,Large
10312,S10_1949,48,100.0,11623.7,3,Large
10322,S10_1949,40,100.0,6000.4,1,Medium
10333,S10_1949,26,100.0,3003.0,3,Medium
10347,S10_1949,30,100.0,3944.7,1,Medium
10357,S10_1949,32,100.0,5691.84,10,Medium
10369,S10_1949,41,100.0,4514.92,2,Medium
10381,S10_1949,36,100.0,8254.8,3,Large
10391,S10_1949,24,100.0,2416.56,4,Small
10411,S10_1949,23,100.0,4140.23,9,Medium
10424,S10_1949,50,100.0,12001.0,6,Large
10107,S10_2016,39,99.91,3896.49,5,Medium
10120,S10_2016,29,96.34,2793.86,3,Small
10134,S10_2016,27,100.0,3307.77,5,Medium
10145,S10_2016,37,100.0,5192.95,9,Medium
10159,S10_2016,37,100.0,5016.83,17,Medium
10168,S10_2016,27,100.0,3660.93,4,Medium
10180,S10_2016,42,100.0,4695.6,12,Medium
10188,S10_2016,38,96.34,3660.92,4,Medium
10201,S10_2016,24,100.0,3025.92,5,Medium
10210,S10_2016,23,100.0,3009.09,2,Medium
10223,S10_2016,47,100.0,5422.39,4,Medium
10236,S10_2016,22,100.0,2852.08,1,Small
10251,S10_2016,44,100.0,5756.52,5,Medium
10263,S10_2016,40,100.0,4472.0,5,Medium
10275,S10_2016,22,100.0,2904.44,4,Small
10285,S10_2016,47,100.0,6484.59,9,Medium
10298,S10_2016,39,96.34,3757.26,1,Medium
10308,S10_2016,34,100.0,4043.96,2,Medium
10318,S10_2016,45,100.0,5566.5,4,Medium
10329,S10_2016,20,100.0,3176.0,2,Medium
10339,S10_2016,40,68.92,2756.8,4,Small
10361,S10_2016,26,51.15,1329.9,8,Small
10374,S10_2016,39,100.0,5288.01,5,Medium
10388,S10_2016,50,44.51,2225.5,5,Small
10402,S10_2016,45,100.0,5833.8,1,Medium
10417,S10_2016,45,100.0,5887.35,5,Medium
10107,S10_4698,27,100.0,6065.55,4,Medium
10120,S10_4698,46,100.0,9264.86,2,Large
10134,S10_4698,31,100.0,7023.98,4,Large
10145,S10_4698,33,100.0,5176.38,8,Medium
10159,S10_4698,22,100.0,4132.7,16,Medium
10168,S10_4698,20,100.0,4183.0,3,Medium
10180,S10_4698,41,100.0,8892.9,11,Large
10188,S10_4698,45,100.0,8714.7,3,Large
10201,S10_4698,49,100.0,8065.89,4,Large
10210,S10_4698,34,100.0,6123.4,1,Medium
10223,S10_4698,49,100.0,9774.03,3,Large
10237,S10_4698,39,100.0,7023.9,9,Large
10251,S10_4698,43,100.0,7078.23,4,Large
10263,S10_4698,41,100.0,8336.94,4,Large
10275,S10_4698,36,100.0,6901.92,3,Medium
10285,S10_4698,27,100.0,5438.07,8,Medium
10299,S10_4698,29,100.0,6683.34,11,Medium
10308,S10_4698,20,100.0,4570.4,1,Medium
10318,S10_4698,37,100.0,7667.14,3,Large
10329,S10_4698,26,100.0,5868.2,3,Medium
10339,S10_4698,39,76.67,2990.13,3,Small
10362,S10_4698,22,100.0,3664.1,4,Medium
10374,S10_4698,22,100.0,3834.38,1,Medium
10388,S10_4698,21,86.77,1822.17,7,Small
10403,S10_4698,66,100.0,11886.6,9,Large
