payment_id,customer_id,staff_id,rental_id,amount,payment_date_year,payment_date_month,payment_date_day,payment_date_hour,payment_date_minute,payment_date_second,last_update_year,last_update_month,last_update_day,last_update_hour,last_update_minute,last_update_second
1,1,1,76,2.99,2005,5,25,11,30,37,2021,3,6,15,55,57
2,1,1,573,0.99,2005,5,28,10,35,23,2021,3,6,15,55,57
3,1,1,1185,5.99,2005,6,15,0,54,12,2021,3,6,15,55,57
4,1,2,1422,0.99,2005,6,15,18,2,53,2021,3,6,15,55,57
5,1,2,1476,9.99,2005,6,15,21,8,46,2021,3,6,15,55,57
6,1,1,1725,4.99,2005,6,16,15,18,57,2021,3,6,15,55,57
7,1,1,2308,4.99,2005,6,18,8,41,48,2021,3,6,15,55,57
8,1,2,2363,0.99,2005,6,18,13,33,59,2021,3,6,15,55,57
9,1,1,3284,3.99,2005,6,21,6,24,45,2021,3,6,15,55,57
10,1,2,4526,5.99,2005,7,8,3,17,5,2021,3,6,15,55,57
11,1,1,4611,5.99,2005,7,8,7,33,56,2021,3,6,15,55,57
12,1,1,5244,4.99,2005,7,9,13,24,7,2021,3,6,15,55,57
13,1,1,5326,4.99,2005,7,9,16,38,1,2021,3,6,15,55,57
14,1,1,6163,7.99,2005,7,11,10,13,46,2021,3,6,15,55,57
15,1,2,7273,2.99,2005,7,27,11,31,22,2021,3,6,15,55,57
16,1,1,7841,4.99,2005,7,28,9,4,45,2021,3,6,15,55,57
17,1,2,8033,4.99,2005,7,28,16,18,23,2021,3,6,15,55,57
18,1,1,8074,0.99,2005,7,28,17,33,39,2021,3,6,15,55,57
19,1,2,8116,0.99,2005,7,28,19,20,7,2021,3,6,15,55,57
20,1,2,8326,2.99,2005,7,29,3,58,49,2021,3,6,15,55,57
21,1,2,9571,2.99,2005,7,31,2,42,18,2021,3,6,15,55,57
22,1,2,10437,4.99,2005,8,1,8,51,4,2021,3,6,15,55,57
23,1,2,11299,3.99,2005,8,2,15,36,52,2021,3,6,15,55,57
24,1,1,11367,0.99,2005,8,2,18,1,38,2021,3,6,15,55,57
25,1,2,11824,4.99,2005,8,17,12,37,54,2021,3,6,15,55,57
26,1,1,12250,0.99,2005,8,18,3,57,29,2021,3,6,15,55,57
27,1,2,13068,0.99,2005,8,19,9,55,16,2021,3,6,15,55,57
28,1,2,13176,2.99,2005,8,19,13,56,54,2021,3,6,15,55,57
29,1,1,14762,0.99,2005,8,21,23,33,57,2021,3,6,15,55,57
