rental_id,inventory_id,customer_id,staff_id,rental_date_year,rental_date_month,rental_date_day,rental_date_hour,rental_date_minute,rental_date_second,return_date_year,return_date_month,return_date_day,return_date_hour,return_date_minute,return_date_second,last_update_year,last_update_month,last_update_day,last_update_hour,last_update_minute,last_update_second
1,367,130,1,2005,5,24,22,53,30,2005,5,26,22,4,30,2021,3,6,15,53,41
2,1525,459,1,2005,5,24,22,54,33,2005,5,28,19,40,33,2021,3,6,15,53,41
3,1711,408,1,2005,5,24,23,3,39,2005,6,1,22,12,39,2021,3,6,15,53,41
4,2452,333,2,2005,5,24,23,4,41,2005,6,3,1,43,41,2021,3,6,15,53,41
5,2079,222,1,2005,5,24,23,5,21,2005,6,2,4,33,21,2021,3,6,15,53,41
6,2792,549,1,2005,5,24,23,8,7,2005,5,27,1,32,7,2021,3,6,15,53,41
7,3995,269,2,2005,5,24,23,11,53,2005,5,29,20,34,53,2021,3,6,15,53,41
8,2346,239,2,2005,5,24,23,31,46,2005,5,27,23,33,46,2021,3,6,15,53,41
9,2580,126,1,2005,5,25,0,0,40,2005,5,28,0,22,40,2021,3,6,15,53,41
10,1824,399,2,2005,5,25,0,2,21,2005,5,31,22,44,21,2021,3,6,15,53,41
11,4443,142,2,2005,5,25,0,9,2,2005,6,2,20,56,2,2021,3,6,15,53,41
12,1584,261,2,2005,5,25,0,19,27,2005,5,30,5,44,27,2021,3,6,15,53,41
13,2294,334,1,2005,5,25,0,22,55,2005,5,30,4,28,55,2021,3,6,15,53,41
14,2701,446,1,2005,5,25,0,31,15,2005,5,26,2,56,15,2021,3,6,15,53,41
15,3049,319,1,2005,5,25,0,39,22,2005,6,3,3,30,22,2021,3,6,15,53,41
16,389,316,2,2005,5,25,0,43,11,2005,5,26,4,42,11,2021,3,6,15,53,41
17,830,575,1,2005,5,25,1,6,36,2005,5,27,0,43,36,2021,3,6,15,53,41
18,3376,19,2,2005,5,25,1,10,47,2005,5,31,6,35,47,2021,3,6,15,53,41
19,1941,456,1,2005,5,25,1,17,24,2005,5,31,6,0,24,2021,3,6,15,53,41
20,3517,185,2,2005,5,25,1,48,41,2005,5,27,2,20,41,2021,3,6,15,53,41
